"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"E2E - тесты (полные)","keeper - проверка что установленные чаевые у одного юзера не сбросятся если другой юзер будет выбирать позиции","","1","12","0","0","0"
"E2E - тесты (полные)","tapper - переход на пустой стол, создание заказа на кассе, появление заказа в таппере","","0","5","1","0","0"
"RKeeper","Сокеты","Частичная оплата на 1-м устройстве, позиции в статусе 'Оплачиваются', 'Оплачено' на 2-м устройстве","0","12","1","0","0"
"RKeeper","Скидка","Полная оплата с общей скидкой на заказ","0","7","0","1","0"
"RKeeper","Добавление и удаление позиций из заказа","Добавление позиции, частичная оплата","1","9","1","0","0"
"Личный кабинет администратора ресторана","Профиль","","0","6","0","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Удаление позиции после частичной оплаты","1","9","1","0","0"
"RKeeper","Скидка","Удаление скидки из заказа, полная оплата","0","10","0","1","0"
"Личный кабинет администратора ресторана","Столики и QR-коды","","0","12","1","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Удаление позиции, полная оплата","1","4","1","0","0"
"RKeeper","Сокеты","Выбор позиций в раздельной оплате на 1-м устройстве, позиции в статусе “Оплачивается” на 2-м устройстве","0","6","1","0","0"
"RKeeper","Чаевые","Проверка логики установки дефолтных чаевых от суммы заказа, ввод кастомных чаевых, ошибки суммы","8","20","2","0","0"
"RKeeper","Официант","Официант не верифицирован, без привязанной карты, частичная оплата  +СБ","0","8","1","0","0"
"RKeeper","Частичная оплата","Частичная оплата - -чай +сбор","0","8","1","0","0"
"Личный кабинет администратора ресторана","Меню","","0","32","0","0","0"
"Личный кабинет администратора ресторана","Авторизация","","0","25","0","0","0"
"RKeeper","Модификаторы","Платные модификаторы - частичная оплата","1","8","0","0","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - -чай -сбор","0","7","1","0","0"
"Личный кабинет администратора ресторана","Личный кабинет официанта","","0","20","1","0","0"
"RKeeper","Частичная оплата","Частичная оплата - +чай +сбор","0","8","1","0","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - -чай +сбор","0","7","1","0","0"
"E2E - тесты (полные)","Общая функциональность таппера","","0","20","1","0","0"
"RKeeper","Полная оплата","Комплекс оплат для проверки на странице истории операций в админке","0","10","1","0","0"
"RKeeper","Официант","Официант не верифицирован, без привязанной карты, полная оплата + СБ","0","7","1","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, полная оплата -СБ","0","7","1","0","0"
"RKeeper","Частичная оплата","Частичная оплата - -чай -сбор","0","8","1","0","0"
"RKeeper","Официант","Официант не верифицирован, без привязанной карты, полная оплата - СБ","0","7","1","0","0"
"RKeeper","Частичная оплата","Частичная оплата - +чай -сбор","0","8","1","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Удаление позиции, частичная оплата","1","9","1","0","0"
"RKeeper","Сокеты","Полная оплата на 1-м устройстве, позиции в статусе 'Оплачиваются', 'Оплачено' на 2-м устройстве","0","9","1","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, полная оплата + СБ","0","7","1","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, частичная оплата  -СБ","0","8","1","0","0"
"RKeeper","Скидка","Частичная оплата + применение скидки (Частичная оплата, потом скидка, потом полная оплата)","0","9","1","1","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - +чай -сбор","0","7","1","0","0"
"Личный кабинет администратора ресторана","История операций","","0","8","0","0","0"
"RKeeper","Полная оплата","Выбор всех позиций - +чай +сбор","0","7","1","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Добавление и удаление позиции после в одном заказе","2","6","1","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Добавление позиции после частичной оплаты","1","9","1","0","0"
"RKeeper","Частичная оплата","Частичная оплата в несколько платежей до конца - +чай +сбор","0","7","1","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Добавление позиции, полная оплата","1","5","1","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, частичная оплата  +СБ","0","8","1","0","0"
"RKeeper","Официант","Официант не верифицирован, без привязанной карты, частичная оплата  -СБ","0","8","1","0","0"
"E2E - тесты (полные)","keeper - открытие стола у двух гостей, второй гость выбирает и отменяет позиции, у первого не должно быть заблокировано для оплаты","","0","7","1","0","0"
"RKeeper","Модификаторы","Платные модификаторы - полная оплата","1","7","0","0","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - +чай +сбор","0","7","1","0","0"
