"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Личный кабинет администратора ресторана","Кастомизация","Проверка переключения типу получателя, замена шаблона, проверка на столе","0","5","0","0","0"
"Личный кабинет техподдержки","Логи/доступы","Проверка категории логов/доступы, отображения элементов, всех табов на странице","0","15","0","0","0"
"Личный кабинет администратора ресторана","Меню","Смена имени категории и позиции, проверка на столе","0","6","0","0","0"
"Личный кабинет администратора ресторана","Профиль","","0","5","0","0","0"
"Личный кабинет техподдержки","Логи/доступы","Проверка таба Столы","1","14","0","0","0"
"Личный кабинет официант ресторана","Отвязка и привязка карты официанта","","0","9","0","0","0"
"Личный кабинет официант ресторана","Проверка всех элементов, смены имени, телеграмма, пароля, загрузка изображений, сверка со столом","","1","8","0","1","0"
"Личный кабинет администратора ресторана","Интеграции","","0","2","0","0","0"
"Личный кабинет техподдержки","Заглушка","Заглушаем только один ресторан, но через поиск, и проверяем все вариации заглушки","0","8","0","0","0"
"Личный кабинет администратора ресторана","Столики и QR-коды","","1","14","0","0","0"
"Личный кабинет техподдержки","Недоступность кассы","","0","5","0","0","0"
"Личный кабинет администратора ресторана","Меню","Проверка что включенное меню отображается","0","6","0","0","0"
"Личный кабинет техподдержки","Логи/доступы","Проверка таба Официанты","0","6","0","0","0"
"Личный кабинет администратора ресторана","Авторизация\регистрация","Авторизация администратора,проверка всех статусов приглашения официанта","0","10","0","0","0"
"Личный кабинет техподдержки","Заглушка","Заглушаем только один ресторан и проверяем все вариации заглушки","0","10","0","0","0"
"Личный кабинет администратора ресторана","История операций","","0","7","0","1","0"
"Личный кабинет администратора ресторана","Кастомизация","Проверка вайфая","0","6","0","0","0"
"Личный кабинет администратора ресторана","Авторизация\регистрация","Авторизация официанта, когда у него отозвали приглашение","0","8","0","0","0"
"Личный кабинет администратора ресторана","Реквизиты компании","","0","2","0","0","0"
"Личный кабинет администратора ресторана","Настройка уведомлений","","0","4","0","0","0"
"Личный кабинет администратора ресторана","Меню","Загрузка, удаление фотографии","0","9","0","0","0"
"Личный кабинет техподдержки","Заглушка","Проверка всех элементов заглушки, заглушаем все рестораны, сперва весь сервис, потом только оплату","0","8","0","0","0"
"Личный кабинет техподдержки","История операций","","0","0","0","2","0"
"Личный кабинет администратора ресторана","Меню","Сортировка меню, отображение всех категорий и блюд в таппере","0","7","0","0","0"
"Личный кабинет техподдержки","Профиль","","0","2","0","0","0"
"Личный кабинет администратора ресторана","Авторизация\регистрация","Приглашение на один и тот же e-mail, который уже занят у официанта","0","4","0","0","0"
"Личный кабинет техподдержки","Рассылка","","0","2","0","0","0"
