"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"RKeeper","Добавление и удаление позиций из заказа","Добавление и удаление позиции после в одном заказе","1","9","0","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, полная оплата -СБ","1","5","0","0","0"
"RKeeper","Сокеты","Частичная оплата на 1-м устройстве, позиции в статусе 'Оплачиваются', 'Оплачено' на 2-м устройстве","1","11","0","0","0"
"RKeeper","Скидка","Удаление скидки из заказа, полная оплата","0","18","0","0","0"
"RKeeper","Частичная оплата","Частичная оплата - -чай +сбор","1","6","0","0","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - -чай -сбор","1","5","0","0","0"
"RKeeper","Официант","Официант не верифицирован, без привязанной карты, частичная оплата  -СБ","1","8","0","0","0"
"RKeeper","Общие","Общая функциональность таппера","0","21","0","0","0"
"RKeeper","Официант","Официант не верифицирован, без привязанной карты, полная оплата + СБ","1","5","0","0","0"
"RKeeper","Официант","Официант не верифицирован, без привязанной карты, полная оплата - СБ","1","5","0","0","0"
"Личный кабинет администратора ресторана","История операций","","0","7","0","1","0"
"Личный кабинет официант ресторана","Проверка всех элементов, смены имени, телеграмма, пароля, загрузка изображений, сверка со столом","","0","10","0","0","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - -чай +сбор","1","5","0","0","0"
"RKeeper","Общие","tapper - переход на пустой стол, создание заказа на кассе, появление заказа в таппере","0","5","0","0","0"
"Личный кабинет официант ресторана","Отвязка и привязка карты официанта","","0","9","0","0","0"
"Личный кабинет администратора ресторана","Меню","Загрузка, удаление фотографии","0","9","0","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, частичная оплата  +СБ","1","7","0","0","0"
"RKeeper","Частичная оплата","Частичная оплата - +чай +сбор","1","6","0","0","0"
"RKeeper","Официант","Официант не верифицирован, без привязанной карты, частичная оплата  +СБ","1","7","0","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Удаление позиции после частичной оплаты","1","9","0","0","0"
"RKeeper","Полная оплата","Выбор всех позиций - +чай +сбор","1","5","0","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Удаление позиции, полная оплата","1","6","0","0","0"
"RKeeper","Общие","tapper - проверка сообщений вызова официанта при пустом столе и в заказе","2","7","0","0","0"
"Личный кабинет администратора ресторана","Меню","Проверка что включенное меню отображается","0","6","0","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Добавление позиции после частичной оплаты","1","9","0","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Добавление позиции, частичная оплата","1","9","0","0","0"
"RKeeper","Частичная оплата","Частичная оплата - -чай -сбор","1","6","0","0","0"
"Личный кабинет администратора ресторана","Столики и QR-коды","","0","15","0","0","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - +чай +сбор","1","5","0","0","0"
"Личный кабинет администратора ресторана","Интеграции","","0","2","0","0","0"
"RKeeper","Модификаторы","Платные модификаторы - полная оплата","1","5","0","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Удаление позиции, частичная оплата","1","9","0","0","0"
"RKeeper","Чаевые","Проверка логики установки дефолтных чаевых от суммы заказа с двумя гостями","0","7","0","0","0"
"RKeeper","Частичная оплата","Частичная оплата - +чай -сбор","1","6","0","0","0"
"RKeeper","Сокеты","Одновременная частичная оплата с 2х устройств","0","12","0","0","0"
"Личный кабинет администратора ресторана","Кастомизация","Проверка вайфая","0","6","0","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, частичная оплата  -СБ","1","7","0","0","0"
"RKeeper","Сокеты","Полная оплата на 1-м устройстве, позиции в статусе 'Оплачиваются', 'Оплачено' на 2-м устройстве","1","9","0","0","0"
"Личный кабинет администратора ресторана","Авторизация\регистрация","Авторизация администратора,проверка всех статусов приглашения официанта","0","10","0","0","0"
"RKeeper","Общие","keeper - открытие стола у двух гостей, второй гость выбирает и отменяет позиции, у первого не должно быть заблокировано для оплаты","0","6","0","0","0"
"Личный кабинет администратора ресторана","Авторизация\регистрация","Авторизация официанта, когда у него отозвали приглашение","0","8","0","0","0"
"RKeeper","Скидка","Частичная оплата + применение скидки (Частичная оплата, потом скидка, потом полная оплата)","0","18","0","0","0"
"RKeeper","Общие","keeper - комплекс оплат для проверки на странице истории операций в админке","1","9","0","0","0"
"RKeeper","Скидка","Полная оплата с общей скидкой на заказ","2","8","0","2","0"
"RKeeper","Добавление и удаление позиций из заказа","Добавление позиции, полная оплата","1","7","0","0","0"
"Личный кабинет администратора ресторана","Настройка уведомлений","","0","4","0","0","0"
"RKeeper","Сокеты","Выбор позиций в раздельной оплате на 1-м устройстве, позиции в статусе “Оплачивается” на 2-м устройстве","0","5","0","0","0"
"RKeeper","Модификаторы","Платные модификаторы - частичная оплата","1","5","0","0","0"
